epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44353,1.02923,2.84519,1.44779,0.00724,0.9375,0.18086,0.09103,1.61652,3.29123,2.31571,0,0,0
2,2.99576,1.03601,2.8121,1.4796,0.00714,0.9375,0.18023,0.07477,1.5597,3.27692,2.25521,1.63399e-05,1.63399e-05,1.63399e-05
3,4.47869,0.74992,2.74764,1.33669,0.00692,0.9375,0.14357,0.07557,1.52744,3.25994,2.16628,3.20197e-05,3.20197e-05,3.20197e-05
4,5.8023,1.13571,2.91137,1.66696,0.00673,0.9375,0.1826,0.09979,1.44803,3.28964,2.06794,4.70394e-05,4.70394e-05,4.70394e-05
5,7.15227,0.94581,2.79414,1.528,0.00664,0.9375,0.29858,0.13722,1.3301,3.26845,1.95325,6.13989e-05,6.13989e-05,6.13989e-05
6,8.44415,0.99829,2.67733,1.36009,0.00668,0.9375,0.24336,0.12914,1.16016,3.20469,1.80494,7.50984e-05,7.50984e-05,7.50984e-05
7,9.76315,0.64479,2.65464,1.11365,0.00671,0.9375,0.29298,0.15348,1.04999,3.16518,1.7166,8.81376e-05,8.81376e-05,8.81376e-05
8,11.1431,0.58842,2.57605,1.14463,0.00683,0.9375,0.30723,0.18587,0.97994,3.15643,1.65381,0.000100517,0.000100517,0.000100517
9,12.5394,0.7139,2.58598,1.23778,0.00704,0.9375,0.31496,0.19741,0.94771,3.16008,1.58908,0.000112236,0.000112236,0.000112236
10,13.892,0.59873,2.4729,1.18343,0.00733,0.9375,0.353,0.24889,0.89455,3.13615,1.52659,0.000123295,0.000123295,0.000123295
11,15.38,1.04381,2.55997,1.4532,0.00744,0.9375,0.42094,0.29895,0.78862,3.12225,1.43374,0.000133693,0.000133693,0.000133693
12,16.7389,0.62022,2.41759,1.09841,0.0075,0.9375,0.4525,0.29334,0.75661,3.1479,1.38958,0.000143432,0.000143432,0.000143432
13,18.1099,0.91995,2.54464,1.45879,0.00738,0.9375,0.44269,0.28224,0.86687,3.139,1.42229,0.00015251,0.00015251,0.00015251
14,19.5271,0.65769,2.48508,1.19291,0.0084,1,0.42371,0.26671,0.93495,3.12392,1.46531,0.000160929,0.000160929,0.000160929
15,21.0103,0.57985,2.25154,1.14799,0.00715,0.9375,0.43779,0.27775,1.02443,3.14935,1.59034,0.000168687,0.000168687,0.000168687
16,22.4663,0.92309,2.45134,1.31533,0.00692,0.9375,0.45741,0.32629,1.01166,3.1461,1.57884,0.000175785,0.000175785,0.000175785
17,23.9132,1.2654,2.38921,1.7284,0.0068,0.9375,0.4426,0.29975,1.02446,3.15584,1.52203,0.000182223,0.000182223,0.000182223
18,25.2608,0.68422,2.2699,1.13763,0.0068,0.9375,0.4426,0.29975,1.02446,3.15584,1.52203,0.000188001,0.000188001,0.000188001
19,26.6787,0.64001,2.2104,1.12996,0.00668,0.9375,0.44901,0.3157,0.90713,3.1071,1.44878,0.000193119,0.000193119,0.000193119
20,28.1033,1.08699,2.22106,1.39365,0.00668,0.9375,0.44901,0.3157,0.90713,3.1071,1.44878,0.000197576,0.000197576,0.000197576
21,29.5673,0.74196,2.1807,1.13056,0.00768,1,0.42848,0.34406,0.71917,3.0457,1.27339,0.000201374,0.000201374,0.000201374
22,30.9257,0.60662,1.98901,1.16063,0.00768,1,0.42848,0.34406,0.71917,3.0457,1.27339,0.000204511,0.000204511,0.000204511
23,32.311,0.63474,2.24183,1.15,0.00778,1,0.42674,0.34553,0.75333,3.08851,1.25721,0.000206988,0.000206988,0.000206988
24,33.7025,0.74771,2.13112,1.12237,0.00778,1,0.42674,0.34553,0.75333,3.08851,1.25721,0.000208805,0.000208805,0.000208805
25,35.1394,0.70381,2.03381,1.14796,0.00801,1,0.44369,0.28142,1.00257,3.16156,1.35535,0.000209962,0.000209962,0.000209962
26,36.5053,0.56868,2.09561,1.01358,0.00801,1,0.44369,0.28142,1.00257,3.16156,1.35535,0.000210459,0.000210459,0.000210459
27,37.9394,0.65629,2.02079,1.1923,0.00795,1,0.45267,0.23165,1.17063,3.18394,1.47668,0.000210295,0.000210295,0.000210295
28,39.2804,0.78744,2.03736,1.24004,0.00795,1,0.45267,0.23165,1.17063,3.18394,1.47668,0.000209472,0.000209472,0.000209472
29,40.7052,0.56771,1.89002,1.01692,0.00788,1,0.48371,0.36105,0.78152,3.07674,1.20172,0.000207988,0.000207988,0.000207988
30,42.1233,0.55768,2.01944,1.06931,0.00788,1,0.48371,0.36105,0.78152,3.07674,1.20172,0.000205844,0.000205844,0.000205844
31,43.6062,0.86569,2.05061,1.18101,0.00788,1,0.47743,0.41023,0.67094,3.03791,1.16313,0.000203041,0.000203041,0.000203041
32,45.1232,0.69781,1.8612,1.11399,0.00788,1,0.47743,0.41023,0.67094,3.03791,1.16313,0.000199577,0.000199577,0.000199577
33,46.6364,0.61221,1.80057,1.03191,0.00783,1,0.48678,0.41967,0.65499,3.0137,1.1593,0.000195452,0.000195452,0.000195452
34,48.0254,0.803,1.70976,1.25746,0.00783,1,0.48678,0.41967,0.65499,3.0137,1.1593,0.000190668,0.000190668,0.000190668
35,49.4811,0.71524,1.91933,1.10052,0.00795,1,0.48505,0.41512,0.61077,2.96786,1.13142,0.000185224,0.000185224,0.000185224
36,50.8573,0.57205,1.70645,1.0112,0.00795,1,0.48505,0.41512,0.61077,2.96786,1.13142,0.000179119,0.000179119,0.000179119
37,52.2441,1.07216,1.927,1.6717,0.00792,1,0.50623,0.42306,0.56133,2.93888,1.09322,0.000172354,0.000172354,0.000172354
38,53.764,0.62837,1.60463,1.07604,0.00792,1,0.50623,0.42306,0.56133,2.93888,1.09322,0.00016493,0.00016493,0.00016493
39,55.3139,0.99556,1.93194,1.30384,0.00787,1,0.52696,0.44379,0.54282,2.93783,1.07071,0.000156845,0.000156845,0.000156845
40,56.7693,0.57959,1.57902,1.07201,0.00787,1,0.52696,0.44379,0.54282,2.93783,1.07071,0.0001481,0.0001481,0.0001481
41,58.221,0.64223,1.47577,1.24477,0.00815,1,0.56842,0.50023,0.49596,2.90693,1.02232,0.000138694,0.000138694,0.000138694
42,59.6259,0.51372,1.4122,1.0277,0.00815,1,0.56842,0.50023,0.49596,2.90693,1.02232,0.000128629,0.000128629,0.000128629
43,61.1194,0.85289,1.84438,1.49953,0.00841,1,0.60987,0.53982,0.48266,2.8725,1.00685,0.000117904,0.000117904,0.000117904
44,62.5716,0.60797,1.57715,1.26517,0.00841,1,0.60987,0.53982,0.48266,2.8725,1.00685,0.000106518,0.000106518,0.000106518
45,64.0905,0.57223,1.4743,1.20421,0.0087,1,0.65667,0.57967,0.48287,2.83816,0.99649,9.44722e-05,9.44722e-05,9.44722e-05
46,65.5488,0.99975,1.74775,1.62614,0.0087,1,0.65667,0.57967,0.48287,2.83816,0.99649,8.17663e-05,8.17663e-05,8.17663e-05
47,67.1171,0.64401,1.54255,1.27829,0.00908,1,0.73958,0.6525,0.48038,2.81083,0.98909,6.84003e-05,6.84003e-05,6.84003e-05
48,68.4727,0.5286,1.51155,1.17717,0.00908,1,0.73958,0.6525,0.48038,2.81083,0.98909,5.43742e-05,5.43742e-05,5.43742e-05
49,69.9996,0.47465,1.3476,1.10183,0.00916,1,0.98833,0.69043,0.47721,2.78208,0.98896,3.96879e-05,3.96879e-05,3.96879e-05
50,71.4239,0.58817,1.45858,1.24122,0.00916,1,0.98833,0.69043,0.47721,2.78208,0.98896,2.43415e-05,2.43415e-05,2.43415e-05
