epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4485,0.34636,3.56948,0.92257,0.00288,0.88594,0.28475,0.24273,0.39894,3.97281,0.88289,5.716e-05,5.716e-05,5.716e-05
2,40.3171,0.36233,3.12329,0.86874,0.00326,0.98851,0.58081,0.5397,0.34613,3.77082,0.80183,0.000127973,0.000127973,0.000127973
3,60.8462,0.37081,2.5342,0.84631,0.0033,0.98851,0.73674,0.66091,0.3476,3.70524,0.77262,0.000198079,0.000198079,0.000198079
4,81.5765,0.40614,1.98706,0.86684,0.00338,0.98851,0.76077,0.66786,0.42852,3.60638,0.80486,0.000267478,0.000267478,0.000267478
5,101.912,0.45181,1.68858,0.87989,0.00334,0.98851,0.94149,0.82298,0.42395,3.5897,0.81165,0.000336169,0.000336169,0.000336169
6,121.55,0.46104,1.46449,0.92826,0.00336,0.98851,0.97611,0.87827,0.43443,3.6761,0.83141,0.000404153,0.000404153,0.000404153
7,141.684,0.44546,1.38255,0.9051,0.00329,0.98851,0.89132,0.65889,0.62026,3.81614,0.92932,0.00047143,0.00047143,0.00047143
8,161.323,0.47606,1.35633,0.92072,0.00328,0.98851,0.8951,0.80396,0.42163,3.66178,0.85824,0.000537999,0.000537999,0.000537999
9,181.591,0.43577,1.16535,0.96008,0.00327,0.98851,0.96464,0.83342,0.45789,3.46492,0.86719,0.000603861,0.000603861,0.000603861
10,201.924,0.44809,1.27939,0.92188,1,0.27084,0.94692,0.80304,0.48506,3.35567,0.85633,0.000669016,0.000669016,0.000669016
11,222.358,0.50023,1.34405,0.92474,1,0.25915,0.92817,0.81295,0.4949,3.38753,0.8609,0.000733463,0.000733463,0.000733463
12,242.799,0.38526,1.29047,0.88362,0.98719,0.73056,0.9556,0.81506,0.55896,3.01607,0.91045,0.000797203,0.000797203,0.000797203
13,262.6,0.45198,1.1431,0.91244,0.96814,0.91828,0.95864,0.83191,0.56162,2.87175,0.9264,0.000860235,0.000860235,0.000860235
14,281.816,0.48156,1.24172,0.9287,0.84769,0.90465,0.95562,0.81259,0.60956,3.2127,0.94839,0.00092256,0.00092256,0.00092256
15,301.809,0.49045,1.15543,0.90067,0.77385,0.90882,0.90435,0.69132,0.68365,2.45897,0.97484,0.000984178,0.000984178,0.000984178
16,321.574,0.46329,1.13742,0.91701,0.84961,0.91341,0.90456,0.67726,0.74033,2.70956,1.00034,0.00104509,0.00104509,0.00104509
17,341.181,0.49415,1.18757,0.92647,0.47287,0.63,0.51585,0.36293,0.65362,3.78144,1.05067,0.00110529,0.00110529,0.00110529
18,361.058,0.48965,1.18207,0.9731,0.40957,0.6774,0.41912,0.32659,0.69046,4.07689,1.02266,0.00116479,0.00116479,0.00116479
19,380.294,0.51632,1.22097,0.93233,0.76698,0.67293,0.73475,0.61163,0.62534,2.75696,0.959,0.00122358,0.00122358,0.00122358
20,399.766,0.47387,1.14849,0.93283,0.92311,0.79985,0.9579,0.72175,0.63631,2.20198,0.98863,0.00128166,0.00128166,0.00128166
21,418.992,0.48081,1.17261,0.91768,0.90553,0.80851,0.93599,0.79368,0.50687,2.05216,0.88045,0.00128753,0.00128753,0.00128753
22,438.629,0.47642,1.06499,0.90362,0.88871,0.85912,0.95436,0.82586,0.502,2.06327,0.87941,0.00128046,0.00128046,0.00128046
23,458.683,0.48718,1.3087,0.91622,0.93395,0.86589,0.93644,0.83259,0.52983,1.91366,0.8668,0.00127338,0.00127338,0.00127338
24,478.468,0.45386,0.97554,0.8954,0.47323,0.61671,0.51313,0.45807,0.54667,2.33953,0.92436,0.00126631,0.00126631,0.00126631
25,498.27,0.57957,1.23347,0.95728,0.95368,0.85656,0.92991,0.80727,0.56524,1.88863,0.94789,0.00125923,0.00125923,0.00125923
26,517.954,0.54407,1.22347,0.91544,0.90445,0.88433,0.94224,0.80107,0.57763,1.75253,0.92434,0.00125216,0.00125216,0.00125216
27,537.293,0.50187,1.09136,0.91523,0.80623,0.87039,0.8697,0.71472,0.61125,2.14701,0.90518,0.00124509,0.00124509,0.00124509
28,557.236,0.51071,1.04012,0.95022,0.96617,0.96198,0.97485,0.85784,0.53448,1.83566,0.86946,0.00123801,0.00123801,0.00123801
29,576.273,0.42264,0.9204,0.85106,0.98621,0.91534,0.94715,0.85628,0.496,1.74504,0.88222,0.00123094,0.00123094,0.00123094
30,595.883,0.44064,1.01323,0.91489,0.94779,0.94089,0.94787,0.84615,0.50497,1.80234,0.91169,0.00122387,0.00122387,0.00122387
31,615.5,0.43477,0.83808,0.87615,0.96756,0.91948,0.93931,0.83037,0.51868,1.6638,0.91928,0.00121679,0.00121679,0.00121679
32,635.773,0.43862,0.91875,0.88824,0.92075,0.86339,0.93488,0.85021,0.46982,1.84837,0.90597,0.00120972,0.00120972,0.00120972
33,655.856,0.42618,0.88374,0.88874,0.82862,0.89712,0.83883,0.75901,0.47798,1.95005,0.89602,0.00120265,0.00120265,0.00120265
34,675.85,0.48183,0.90351,0.9131,0.77096,0.87079,0.88676,0.82108,0.44223,1.67957,0.8742,0.00119557,0.00119557,0.00119557
35,695.567,0.51799,0.9744,0.95309,0.85367,0.81391,0.88889,0.82941,0.40393,1.53499,0.84657,0.0011885,0.0011885,0.0011885
36,714.84,0.43597,0.85653,0.87233,0.9386,0.97619,0.97076,0.88746,0.44393,1.30328,0.86187,0.00118143,0.00118143,0.00118143
37,734.513,0.3909,0.84678,0.91007,0.92801,0.97619,0.98377,0.89896,0.4394,1.2476,0.85876,0.00117435,0.00117435,0.00117435
38,754.168,0.39699,0.89436,0.88228,0.87476,0.94936,0.96885,0.88773,0.43078,1.39792,0.8454,0.00116728,0.00116728,0.00116728
39,773.403,0.43635,0.84187,0.90341,0.86671,0.95144,0.98389,0.91997,0.40579,1.49718,0.83898,0.00116021,0.00116021,0.00116021
40,793.202,0.47266,0.83604,0.96222,0.78846,0.89523,0.91689,0.84959,0.40552,2.03589,0.83042,0.00115313,0.00115313,0.00115313
41,812.969,0.35957,0.85997,0.89088,0.97118,0.99139,0.99189,0.92879,0.41504,1.07264,0.83754,0.00114606,0.00114606,0.00114606
42,831.724,0.44973,0.87312,0.89841,0.97431,0.98993,0.98722,0.89661,0.41934,1.0143,0.83574,0.00113898,0.00113898,0.00113898
43,851.412,0.41665,0.87017,0.88585,0.95429,0.99142,0.98431,0.89364,0.436,1.02943,0.8507,0.00113191,0.00113191,0.00113191
44,872.055,0.36943,0.76392,0.8693,0.98061,0.96749,0.98796,0.91317,0.3891,0.99445,0.8407,0.00112484,0.00112484,0.00112484
45,892.077,0.37902,0.83091,0.87056,0.9927,0.94322,0.99467,0.93065,0.38342,1.01219,0.83585,0.00111776,0.00111776,0.00111776
46,912.398,0.39146,0.80936,0.88914,0.9844,0.96247,0.98493,0.90566,0.37922,1.03602,0.83415,0.00111069,0.00111069,0.00111069
47,931.771,0.43112,0.80149,0.9256,0.99591,0.9647,0.99055,0.93337,0.37814,0.99703,0.83594,0.00110362,0.00110362,0.00110362
48,951.897,0.42356,0.78555,0.90173,0.98028,0.98516,0.99429,0.93294,0.38553,1.03591,0.83485,0.00109654,0.00109654,0.00109654
49,970.474,0.41117,0.76753,0.89182,0.9693,0.93956,0.97739,0.91023,0.378,1.0618,0.82744,0.00108947,0.00108947,0.00108947
50,990.364,0.39451,0.71717,0.87908,0.94207,0.90609,0.9641,0.90037,0.36539,1.07686,0.82393,0.0010824,0.0010824,0.0010824
51,1010.45,0.40983,0.82298,0.85005,0.95766,0.95083,0.99015,0.92295,0.3596,0.98518,0.82692,0.00107532,0.00107532,0.00107532
52,1030.01,0.37155,0.69899,0.87283,0.992,0.97975,0.99467,0.91632,0.38065,0.90455,0.84915,0.00106825,0.00106825,0.00106825
53,1049.54,0.38097,0.70199,0.86374,0.98773,0.98613,0.995,0.91596,0.3623,0.85028,0.84679,0.00106118,0.00106118,0.00106118
54,1069.73,0.39096,0.66847,0.90303,0.98967,0.98495,0.995,0.91674,0.36979,0.85128,0.86201,0.0010541,0.0010541,0.0010541
55,1088.6,0.41296,0.71878,0.97168,0.95115,0.99054,0.995,0.9345,0.38157,0.87677,0.8349,0.00104703,0.00104703,0.00104703
56,1108.79,0.34897,0.65143,0.8706,0.83883,0.79056,0.9397,0.88453,0.33917,1.15995,0.83573,0.00103995,0.00103995,0.00103995
57,1128.68,0.33053,0.62938,0.88117,0.87334,0.73329,0.93824,0.89046,0.34585,1.21226,0.8469,0.00103288,0.00103288,0.00103288
58,1148.79,0.35069,0.64561,0.88391,0.84084,0.73038,0.95964,0.9089,0.3427,1.15962,0.84149,0.00102581,0.00102581,0.00102581
59,1168.55,0.37829,0.63654,0.87299,0.84023,0.77904,0.96809,0.91331,0.32605,1.07841,0.81872,0.00101873,0.00101873,0.00101873
60,1188.57,0.35177,0.64418,0.87498,0.83249,0.89217,0.98331,0.94236,0.30543,0.98411,0.81518,0.00101166,0.00101166,0.00101166
61,1208.46,0.33731,0.60264,0.87366,0.90288,0.92486,0.98994,0.9455,0.3197,0.94924,0.82356,0.00100459,0.00100459,0.00100459
62,1227.97,0.35137,0.62576,0.88572,0.96359,0.95623,0.99435,0.94704,0.33306,0.8908,0.8327,0.000997513,0.000997513,0.000997513
63,1247.77,0.37557,0.6141,0.90428,0.97721,0.98115,0.99435,0.94666,0.34543,0.84455,0.83799,0.00099044,0.00099044,0.00099044
64,1267.34,0.35695,0.67577,0.86296,0.99463,0.99858,0.995,0.95964,0.29248,0.65768,0.82186,0.000983366,0.000983366,0.000983366
65,1286.97,0.32561,0.62491,0.86843,0.9952,0.99927,0.995,0.95708,0.30422,0.64587,0.82186,0.000976293,0.000976293,0.000976293
66,1307.13,0.35177,0.59072,0.87043,0.99568,1,0.995,0.95317,0.30673,0.64047,0.82166,0.000969219,0.000969219,0.000969219
67,1327.05,0.42251,0.62188,0.92865,0.99672,1,0.995,0.94994,0.30701,0.66799,0.81662,0.000962146,0.000962146,0.000962146
68,1346.54,0.36758,0.60432,0.90618,0.99418,1,0.995,0.95825,0.29623,0.64577,0.8132,0.000955072,0.000955072,0.000955072
69,1365.54,0.34376,0.60558,0.84593,0.9918,1,0.995,0.9647,0.28528,0.62789,0.81089,0.000947999,0.000947999,0.000947999
70,1385.34,0.3279,0.56941,0.8806,0.98827,0.99893,0.995,0.9624,0.28223,0.5998,0.81162,0.000940925,0.000940925,0.000940925
71,1405.24,0.35487,0.57758,0.90581,0.98406,0.99827,0.995,0.95702,0.27319,0.60882,0.81173,0.000933851,0.000933851,0.000933851
72,1424.71,0.36121,0.59321,0.8766,0.99453,1,0.995,0.9502,0.28173,0.59146,0.80925,0.000926778,0.000926778,0.000926778
73,1444.74,0.34086,0.56924,0.86531,0.99506,1,0.995,0.93452,0.31056,0.62843,0.81621,0.000919704,0.000919704,0.000919704
74,1464.2,0.36395,0.55085,0.89142,0.9958,1,0.995,0.9471,0.28475,0.63767,0.81707,0.000912631,0.000912631,0.000912631
75,1483.85,0.3562,0.57628,0.92035,0.99644,1,0.995,0.95339,0.27403,0.61591,0.81567,0.000905557,0.000905557,0.000905557
76,1503.56,0.33651,0.56355,0.8806,0.99472,1,0.995,0.95439,0.29222,0.62022,0.81219,0.000898484,0.000898484,0.000898484
77,1523.7,0.31353,0.51931,0.87198,0.99638,1,0.995,0.96618,0.26491,0.5959,0.8055,0.00089141,0.00089141,0.00089141
78,1543.74,0.30736,0.5987,0.88139,0.99308,1,0.995,0.96652,0.26788,0.58703,0.80598,0.000884337,0.000884337,0.000884337
79,1563.29,0.35794,0.54101,0.90103,0.99453,0.99534,0.995,0.97036,0.2749,0.57591,0.80388,0.000877263,0.000877263,0.000877263
80,1582.89,0.35756,0.53762,0.89546,0.9972,0.9915,0.995,0.96671,0.26556,0.52956,0.79895,0.00087019,0.00087019,0.00087019
81,1602.38,0.34839,0.51756,0.85787,0.99682,0.99184,0.995,0.95929,0.25897,0.56103,0.79588,0.000863116,0.000863116,0.000863116
82,1622.57,0.28176,0.55171,0.86099,0.9964,0.99213,0.995,0.95357,0.27864,0.56423,0.80057,0.000856042,0.000856042,0.000856042
83,1642.73,0.28944,0.48022,0.8664,0.99194,0.99755,0.995,0.94792,0.28109,0.54007,0.80345,0.000848969,0.000848969,0.000848969
84,1662.82,0.31224,0.49488,0.86161,0.99398,1,0.995,0.95693,0.28514,0.51452,0.80621,0.000841895,0.000841895,0.000841895
85,1682.51,0.2675,0.47378,0.84641,0.99382,1,0.995,0.96194,0.26931,0.52508,0.80425,0.000834822,0.000834822,0.000834822
86,1702.69,0.30355,0.47958,0.87091,0.9932,1,0.995,0.95903,0.26312,0.51124,0.80394,0.000827748,0.000827748,0.000827748
87,1722.64,0.33381,0.52438,0.88717,0.99445,1,0.995,0.96283,0.26726,0.49403,0.80607,0.000820675,0.000820675,0.000820675
